LA_code,LA_name,Age_total,total_rate,Aged_4_years,Aged_5_to_9,Aged_10_to_15,Aged_16_to_19,Aged_20_to_24,Aged_25_to_34,Aged_35_to_49,Aged_50_to_64,Aged_65_to_74,Aged_75_to_84,Aged_85_plus,good_health_rate,bad_health_rate,2km_rate,5km_to_10km_rate,20km_to_30km_rate,40km_to_60km_rate,WFH,not_deprived_rate,deprived_1,deprived_2,deprived_3,deprived_4,no_car_rate,one_car_rate,two_car_rate,three_car_rate
E07000070,Chelmsford,181527,2.28,54.43,59.45,72.23,41.93,50.17,131.35,203.22,193.55,101.57,65.49,26.62,515.69,28.03,48.95,31.01,22.05,16.8,190.18,545.69,322.29,108.35,22.46,1.2,25.66,72.19,53.41,21.26
E07000071,Colchester,192716,1.82,56.2,61.19,71.36,47.34,72.01,135.35,196.66,181.85,94.93,59.67,23.44,491.8,32.59,60.47,40.87,23.46,7.11,146.15,513.63,332.45,123.35,28.75,1.82,31.21,72.32,49.8,17.75
E07000072,Epping Forest,134981,2.84,58.68,56.95,69.94,40.69,50.67,121.76,199.94,206.76,101.7,65.01,27.91,518.03,31.22,27.74,49.38,28.78,2.99,186.48,511.12,331.8,126.58,28.6,1.9,22.88,68.97,49.76,21.74
E07000073,Harlow,93334,2.01,66.97,70.33,79.42,42.74,52.46,151.92,209.75,180.53,79.64,45.42,20.82,477.41,39.2,69.04,37.55,31.37,4.08,103.19,429.31,353.89,167.74,44.09,4.97,35.72,68.62,45.32,14.85
E07000074,Maldon,66208,2.1,45.95,51.63,65.28,40.58,47.25,101.74,166.22,231.39,133.9,85.53,30.54,466.76,37.56,43.62,33.56,32.43,15.18,147.85,496.13,347.24,128.56,27.02,1.04,20.04,62.27,62.47,32.81
E07000075,Rochford,85667,3.13,49.7,53.86,70.95,41.04,48.99,106.73,180.82,214.42,120.16,81.12,32.21,488.71,33.12,29.04,66.81,14.93,18.64,171.12,494.11,348.54,134.4,21.51,1.44,22.32,66.68,56.87,26.42
E07000076,Tendring,148287,3.88,45.12,50.76,61.93,36.83,45.63,99.78,148.5,215.61,151.04,104.3,40.49,394.45,59.96,53.84,33.25,25.49,7.69,89.84,383.36,376.9,189.11,47.01,3.61,41.67,89.6,53.33,22.33
E07000077,Uttlesford,91340,1.41,55.03,62.56,77.5,41.99,42.85,104.61,197.47,216.23,107.34,66.38,28.06,539.99,25.19,33.21,36.91,28.08,20.34,197.19,580.44,307.49,94.87,16.53,0.68,14.32,57.7,62.17,29.53
E07000078,Cheltenham,118833,1.82,49.29,53.67,68.72,45.69,66.45,138.37,195.34,189.91,96.37,65.34,30.86,506.9,31.09,84.26,28.3,13.68,6.4,182.7,561.59,306.93,106.11,23.81,1.55,39.79,89.88,53.28,15.22
E07000079,Cotswold,90834,1.46,44.2,50.83,64.83,38.12,43.64,94.41,174.73,228.7,135.67,89,35.87,504.01,29.7,51.8,32.88,34.41,9.25,189.66,570.12,317.98,94.89,16.4,0.62,21.95,77.66,70.7,29.44
E07000080,Forest of Dean,87006,1.29,45.72,51.17,63.54,48.16,46.19,105.81,161.72,227.01,135.85,84.94,29.89,448.13,42.09,42.8,44.76,39.09,6.87,129.07,480.91,348.25,139.93,29.58,1.32,22.29,68.73,61.2,30.76
E07000081,Gloucester,132409,1.84,56.33,62.92,73.14,46.17,64.09,141.1,194.45,194.77,88.08,56.43,22.52,467.35,39.06,78.71,56.74,9.26,9.15,120.14,489.38,337.43,135.62,34.79,2.78,35.37,73.11,50.09,16.53
E07000082,Stroud,121103,1.43,46.6,54.99,71.07,40.74,41.41,104.13,182.09,225.87,125.13,77.01,30.97,486.31,33.15,46.77,55.53,23.26,5.5,172.93,551.59,322.88,103.57,20.87,1.09,22.2,70.24,65.68,28.94
E07000083,Tewkesbury,94888,1.85,56,60.63,68.12,37.37,43.28,120.64,185.73,205.74,116.12,77.45,28.92,497.81,31.15,44.64,72.72,15.66,7.83,163.69,550.75,324.2,104.49,19.48,1.07,21.41,74.51,66.06,24.08
E07000084,Basingstoke and Deane,185148,1.55,57.01,62.38,71.5,38.2,49.87,138.52,209.61,200.02,94.29,57.75,20.85,501.19,29.27,58.72,37.32,24.92,10.41,205.55,550.37,319.97,107.01,21.53,1.12,24.8,66.08,58.75,21.75
E07000085,East Hampshire,125741,1.56,47.8,55.23,71.26,42.2,42.99,102.97,182.07,224.37,119.55,79.39,32.18,507.61,28.62,42.06,43.18,31.91,9.77,184.04,569.9,315.53,94.96,18.46,1.15,17.03,62.83,65.82,30.1
E07000086,Eastleigh,136446,1.3,55.63,62.51,73.22,39.11,47.01,130.72,198.84,197.76,102.77,65.35,27.07,498.23,29.96,44.18,78.9,10.61,5.17,175.11,551.58,321.3,105.97,20.21,0.95,20.63,69.16,62.73,21.52
E07000087,Fareham,114503,2.31,45.05,54.2,65.59,38.67,45.79,106.83,177.78,220.7,122.81,85.76,36.83,481.95,32.3,42.12,64.72,11.38,4.74,167.73,546.19,330.29,106.11,16.44,0.97,21.86,68.78,64.67,25.13
E07000088,Gosport,81955,1.9,51.75,57.09,71.03,40.45,51.86,122.93,180.18,211.01,114.22,70.76,28.72,433.21,43.77,65.66,72.23,13.47,3.95,108.17,459.97,356.68,147.68,33.63,2.04,39.67,85.08,51.17,16.18
E07000089,Hart,99409,1.51,51.9,63.05,76.98,44.93,44.46,109.8,206.3,205.67,99.68,70.42,26.82,548.79,21.9,36.4,59.2,17.04,11.46,227.13,606.85,297.74,81.67,13.16,0.57,12.68,56.55,65.07,27.3
